t,date,year,month,price_electricity,price_coal,price_gas
1,2008-06-01,2008,6,11.77,13.5,11.85
2,2008-07-01,2008,7,12.07,13.65,12.48
3,2008-08-01,2008,8,12.09,11.2,10.2
4,2008-09-01,2008,9,11.92,11.5,8.99
5,2008-10-01,2008,10,11.81,14.25,7.8
6,2008-11-01,2008,11,11.42,13.7,7.93
7,2008-12-01,2008,12,10.86,12.7,8.16
8,2009-01-01,2009,1,10.98,13.25,7.97
9,2009-02-01,2009,2,11.18,13,7.26
10,2009-03-01,2009,3,11.28,13,6.85
11,2009-04-01,2009,4,11.5,11.1,5.71
12,2009-05-01,2009,5,11.78,9,5.49
13,2009-06-01,2009,6,11.81,9,5.55
14,2009-07-01,2009,7,11.85,9,5.7
15,2009-08-01,2009,8,11.94,9,5.61
16,2009-09-01,2009,9,11.96,8.8,5.37
17,2009-10-01,2009,10,11.65,9.25,5.65
18,2009-11-01,2009,11,11.26,8.25,6.34
19,2009-12-01,2009,12,10.9,8.35,6.22
20,2010-01-01,2010,1,10.49,10.2,6.84
21,2010-02-01,2010,2,10.89,10.9,6.64
22,2010-03-01,2010,3,11.11,12.1,6.5
23,2010-04-01,2010,4,11.71,12.45,5.88
24,2010-05-01,2010,5,11.91,11.8,5.81
25,2010-06-01,2010,6,11.91,11.9,6.02
26,2010-07-01,2010,7,12.04,13.8,6.31
27,2010-08-01,2010,8,12.03,14.8,6.22
28,2010-09-01,2010,9,11.95,14.3,5.72
29,2010-10-01,2010,10,11.86,14.15,5.7
30,2010-11-01,2010,11,11.62,13.65,5.48
31,2010-12-01,2010,12,11.06,13.5,5.74
32,2011-01-01,2011,1,10.87,13.5,5.69
33,2011-02-01,2011,2,11.06,14.1,5.75
34,2011-03-01,2011,3,11.52,13.8,5.73
35,2011-04-01,2011,4,11.67,13.7,5.62
36,2011-05-01,2011,5,11.93,13.4,5.8
37,2011-06-01,2011,6,11.97,13.2,6.12
38,2011-07-01,2011,7,12.09,14.55,6.16
39,2011-08-01,2011,8,12.09,14.55,6.19
40,2011-09-01,2011,9,12.17,14.55,5.94
41,2011-10-01,2011,10,12.08,14.8,5.45
42,2011-11-01,2011,11,11.78,13.2,5.29
43,2011-12-01,2011,12,11.4,12.9,5.03
44,2012-01-01,2012,1,11.41,11.9,4.85
45,2012-02-01,2012,2,11.51,11.4,4.73
46,2012-03-01,2012,3,11.7,8.9,4.84
47,2012-04-01,2012,4,11.92,8.95,4.19
48,2012-05-01,2012,5,11.9,9.15,4.3
49,2012-06-01,2012,6,12.09,8.5,4.63
50,2012-07-01,2012,7,12,8.5,4.88
51,2012-08-01,2012,8,12.17,9.4,5.13
52,2012-09-01,2012,9,12.3,9.2,4.76
53,2012-10-01,2012,10,12.03,10.25,4.65
54,2012-11-01,2012,11,11.75,10,4.79
55,2012-12-01,2012,12,11.62,10,4.79
56,2013-01-01,2013,1,11.46,10.15,4.52
57,2013-02-01,2013,2,11.63,10.25,4.56
58,2013-03-01,2013,3,11.61,10.25,4.75
59,2013-04-01,2013,4,11.93,10.55,5.16
60,2013-05-01,2013,5,12.4,10.55,5.55
61,2013-06-01,2013,6,12.54,10.55,5.74
62,2013-07-01,2013,7,12.65,10.3,5.51
63,2013-08-01,2013,8,12.53,10.3,5.24
64,2013-09-01,2013,9,12.51,10.3,5.21
65,2013-10-01,2013,10,12.36,10.3,4.88
66,2013-11-01,2013,11,12.1,11,4.78
67,2013-12-01,2013,12,11.72,11,4.93
68,2014-01-01,2014,1,11.65,11.5,5.56
69,2014-02-01,2014,2,11.94,12.35,6.41
70,2014-03-01,2014,3,12.25,12.5,6.57
71,2014-04-01,2014,4,12.31,12.65,5.64
72,2014-05-01,2014,5,12.85,13.02,5.9
73,2014-06-01,2014,6,12.99,13,6.05
74,2014-07-01,2014,7,13.09,12.55,5.99
75,2014-08-01,2014,8,13.04,12.25,5.49
76,2014-09-01,2014,9,12.95,11.55,5.51
77,2014-10-01,2014,10,12.6,11.25,5.16
78,2014-11-01,2014,11,12.48,11.55,4.91
79,2014-12-01,2014,12,12.17,11.55,5.15
80,2015-01-01,2015,1,12.1,11.55,4.48
81,2015-02-01,2015,2,12.29,11.55,4.57
82,2015-03-01,2015,3,12.33,11.55,4.35
83,2015-04-01,2015,4,12.62,11.55,3.93
84,2015-05-01,2015,5,12.93,11.55,4.25
85,2015-06-01,2015,6,12.92,11.55,4.44
86,2015-07-01,2015,7,12.94,11.55,4.65
87,2015-08-01,2015,8,12.91,11.55,4.59
